id	url	html_path	headers_path	html_sha256	headers_sha256	retrieved_at	http_status	last_modified	notes
config-reference	https://developers.openai.com/codex/config-reference	knowledge/primary/CODX/pages/config-reference/index.html	knowledge/primary/CODX/pages/config-reference/response-headers.txt	190733c51890251a13e8e30f1248362b01f3921699b9addae351a40033dbc70b	7db94c416429fc1305ac98af7ec07c6786d29966d8452abdb2f05c0d04f6f708	2026-06-08T13:21:06Z	200	Mon, 08 Jun 2026 12:35:30 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
config-sample	https://developers.openai.com/codex/config-sample	knowledge/primary/CODX/pages/config-sample/index.html	knowledge/primary/CODX/pages/config-sample/response-headers.txt	f51c9f0d808eef9dd5b40295f1ff859c46a77fd094271d76fe267f67977f9a4b	6685ef5eb389a3356aa47acd3c70d2e6804da361f2bf4bca9212b65dd2805c37	2026-06-08T13:21:08Z	200	Mon, 08 Jun 2026 12:39:02 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
enterprise/access-tokens	https://developers.openai.com/codex/enterprise/access-tokens	knowledge/primary/CODX/pages/enterprise/access-tokens/index.html	knowledge/primary/CODX/pages/enterprise/access-tokens/response-headers.txt	389c69a36695f4c92a95fbb09691e201b36e57e4cb950f3b81f916f9f209e158	ea57a5ec9cc716e3d516054f7dc083b31bff885b3aec09ad1c56ba35e9b49d62	2026-06-08T13:21:10Z	200	Mon, 08 Jun 2026 12:42:59 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
enterprise/admin-setup	https://developers.openai.com/codex/enterprise/admin-setup	knowledge/primary/CODX/pages/enterprise/admin-setup/index.html	knowledge/primary/CODX/pages/enterprise/admin-setup/response-headers.txt	5686bb621a771355a6bc4bc5eb1646a8830e8f46009e56c0c246cd005713b1f4	d1ded2df1ccc7d8acbef98c698e78edc841a92bc649819a7eef22fb3a88f8bd2	2026-06-08T13:21:12Z	200	Mon, 08 Jun 2026 12:35:36 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
enterprise/governance	https://developers.openai.com/codex/enterprise/governance	knowledge/primary/CODX/pages/enterprise/governance/index.html	knowledge/primary/CODX/pages/enterprise/governance/response-headers.txt	6ee2774ae7c2dbffa19262dafaf914d102b55e21f16497b1841643f8b3cd8410	a626a54791c838b1b6708b600a11d4867b284a6ea29f7847d1fcec5dfe56797e	2026-06-08T13:21:14Z	200	Mon, 08 Jun 2026 12:51:14 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
enterprise/managed-configuration	https://developers.openai.com/codex/enterprise/managed-configuration	knowledge/primary/CODX/pages/enterprise/managed-configuration/index.html	knowledge/primary/CODX/pages/enterprise/managed-configuration/response-headers.txt	97660f724f131e8c8c4c3692ec5fb9f7b61b463e1544f4ec94423e74c7c78895	56aa11ac43ad4c6fa6aed6d37fbe1da12464f9142eb306a7ec77fca84bf750ad	2026-06-08T13:21:15Z	200	Mon, 08 Jun 2026 12:30:57 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
environment-variables	https://developers.openai.com/codex/environment-variables	knowledge/primary/CODX/pages/environment-variables/index.html	knowledge/primary/CODX/pages/environment-variables/response-headers.txt	4ac874107c051de3d10cb7e37f21254316a52303c507afbe981f9d81a5c68760	e1e879ef5a7a39b432494002740df09f39e6cc2267600c2b1b59916c27ecb196	2026-06-08T13:21:17Z	200	Mon, 08 Jun 2026 12:28:44 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
github-action	https://developers.openai.com/codex/github-action	knowledge/primary/CODX/pages/github-action/index.html	knowledge/primary/CODX/pages/github-action/response-headers.txt	2f167b3e68d065ed88df6f3ddf00f9c4b5b0ec5efce8b21f24955c085fdc6f0f	6b12fbd904da8a8a3b068afebc0441f8330707173aa57b34602060917a3e5777	2026-06-08T13:21:19Z	200	Mon, 08 Jun 2026 13:12:29 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
guides/agents-md	https://developers.openai.com/codex/guides/agents-md	knowledge/primary/CODX/pages/guides/agents-md/index.html	knowledge/primary/CODX/pages/guides/agents-md/response-headers.txt	f21d44b5cd0ad89b1b99d7a4d96a52e111571840d998d18007d7de4ecd813ed8	76d23277524f008ed3f6ee01144a2c5aa742b198fe2ca45ff552a5c6ee6943c7	2026-06-08T13:21:21Z	200	Mon, 08 Jun 2026 12:31:40 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
hooks	https://developers.openai.com/codex/hooks	knowledge/primary/CODX/pages/hooks/index.html	knowledge/primary/CODX/pages/hooks/response-headers.txt	50fc30cca025232f8a3882610a388dca02a71ef4440e0a274be8bb37b7df94ca	06290da2ffa9877b36a5b0b2d2d464c818f210f470e5b13f6331f73be60389f0	2026-06-08T13:21:22Z	200	Mon, 08 Jun 2026 12:28:48 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
ide	https://developers.openai.com/codex/ide	knowledge/primary/CODX/pages/ide/index.html	knowledge/primary/CODX/pages/ide/response-headers.txt	2aeac04b375d0f41113c91467b98f17b5bb88542311ed01a1b741f8d949c24bb	68cbff2828e63e61b9e3e0c079a95f48dc7dd4c58a4defa01adaa049daa53ab3	2026-06-08T13:21:24Z	200	Mon, 08 Jun 2026 12:36:25 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
ide/commands	https://developers.openai.com/codex/ide/commands	knowledge/primary/CODX/pages/ide/commands/index.html	knowledge/primary/CODX/pages/ide/commands/response-headers.txt	d1f4be51ac33b708bbc4dce9eab768089ab444aae44929934ef709bfbe1c14d3	4c9aed41e9b5020da441926287fb6a6eee36810a6c8e55885e87990f4913c1a7	2026-06-08T13:21:25Z	200	Mon, 08 Jun 2026 12:34:06 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
